Date,Emotion,CircleColor,VerseText,CircleColorHex
2025-01-01,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-01-02,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-03,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-01-04,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-01-05,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-01-06,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-01-07,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-01-08,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-09,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-10,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-01-11,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-01-12,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-01-13,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-01-14,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-15,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-16,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-01-17,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-01-18,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-01-19,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-01-20,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-21,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-22,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-01-23,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-01-24,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-01-25,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-01-26,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-01-27,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-01-28,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-01-29,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-01-30,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-01-31,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-02-01,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-02-02,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-02-03,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-02-04,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-02-05,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-02-06,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-02-07,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-02-08,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-02-09,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-02-10,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-02-11,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-02-12,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-02-13,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-02-14,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-02-15,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-02-16,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-02-17,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-02-18,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-02-19,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-02-20,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-02-21,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-02-22,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-02-23,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-02-24,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-02-25,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-02-26,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-02-27,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-02-28,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-03-01,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-03-02,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-03-03,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-03-04,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-03-05,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-03-06,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-03-07,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-03-08,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-03-09,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-03-10,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-03-11,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-03-12,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-03-13,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-03-14,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-03-15,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-03-16,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-03-17,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-03-18,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-03-19,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-03-20,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-03-21,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-03-22,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-03-23,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-03-24,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-03-25,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-03-26,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-03-27,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-03-28,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-03-29,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-03-30,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-03-31,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-04-01,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-04-02,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-04-03,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-04-04,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-04-05,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-04-06,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-04-07,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-04-08,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-04-09,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-04-10,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-04-11,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-04-12,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-04-13,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-04-14,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-04-15,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-04-16,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-04-17,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-04-18,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-04-19,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-04-20,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-04-21,Gratitude,green,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph.",#A5D6A7
2025-04-22,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-04-23,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-04-24,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-04-25,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-04-26,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-04-27,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-04-28,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-04-29,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-04-30,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-05-01,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-05-02,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-05-03,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-05-04,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-05-05,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-05-06,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-05-07,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-05-08,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-05-09,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-05-10,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-05-11,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-05-12,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-05-13,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-05-14,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-05-15,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-05-16,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-05-17,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-05-18,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-05-19,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-05-20,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-05-21,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-05-22,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-05-23,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-05-24,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-05-25,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-05-26,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-05-27,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-05-28,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-05-29,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-05-30,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-05-31,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-06-01,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-06-02,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-06-03,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-06-04,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-06-05,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-06-06,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-06-07,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-06-08,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-06-09,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-06-10,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-06-11,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-06-12,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-06-13,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-06-14,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-06-15,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-06-16,Anger,red,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice.",#EF9A9A
2025-06-17,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-06-18,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-06-19,Anxiety,light blue,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God.",#B3E5FC
2025-06-20,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-06-21,Loneliness,purple,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment.",#CE93D8
2025-06-22,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-06-23,Sadness,gray,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands.",#E0E0E0
2025-06-24,Happiness,yellow,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.,#FFF59D
2025-06-25,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
2025-06-26,Gratitude,green,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.,#A5D6A7
2025-06-27,Loneliness,purple,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always.",#CE93D8
2025-06-28,Anger,red,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil.",#EF9A9A
2025-06-29,Sadness,gray,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.,#E0E0E0
2025-06-30,Happiness,yellow,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy.",#FFF59D
2025-07-01,Anxiety,light blue,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart.",#B3E5FC
